mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
24.588140074412028,0.07224394902372318,0.37487068176269533,0.018749760590766437,SAMME,1,150,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 150}",0.9534383867865379,0.9538138490739833,0.9450955580558968,0.9577336556997235,0.9453399359428921,0.9488534663535445,0.9602432494968263,0.9544724131378809,0.9525212254091308,0.9521605061826989,0.9531181949341361,0.9538989689058743,0.9444087828564705,0.9479426406090916,0.9458397637824453,0.9512587064818088,0.004641656604110941,1
16.383363199234008,0.05308801910374771,0.25431369145711263,0.007540695608498844,SAMME,1,100,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 100}",0.9482498489047219,0.9520118173123822,0.9471213733901148,0.9547250123218396,0.9532012180680708,0.9484176723636555,0.9565944068553506,0.950539032777972,0.9479615206542322,0.9489996108623696,0.9521383160900527,0.9536991466768212,0.9380545434506262,0.9453135528891398,0.9484067141835612,0.9496955857867274,0.004347171515906307,2
8.208899609247844,0.03651323414469626,0.14739845593770345,0.004186438171447951,SAMME,1,50,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 50}",0.9428403587441231,0.9358920881575064,0.9393799565729235,0.9503117656222366,0.9452369825972629,0.9360429613971395,0.9465357606797727,0.9453293470942903,0.9436532551552702,0.9480020475180744,0.9449234778440394,0.9521089541988216,0.937222581643356,0.9459074286741481,0.9426196699693203,0.9437337757245523,0.004722050784153588,3
24.57073499361674,0.09824588975062587,0.3731145222981771,0.032366838122582446,SAMME,0.3,150,"{'algorithm': 'SAMME', 'learning_rate': 0.3, 'n_estimators': 150}",0.9396883934133058,0.9447851092047241,0.9385998423283073,0.9422023201580334,0.9297819909840493,0.940222016572705,0.9447540360096351,0.9401639932757258,0.9373016091697505,0.9453565008855456,0.9410781310311531,0.9408854737472782,0.9393581278470176,0.9425007934655149,0.9326956192917608,0.9399582638256336,0.004121516209246575,4
16.420186932881673,0.1455604807614405,0.264262310663859,0.015547886013892172,SAMME,0.3,100,"{'algorithm': 'SAMME', 'learning_rate': 0.3, 'n_estimators': 100}",0.9260037494586898,0.9339599761104843,0.9334441181736892,0.9335692491899541,0.9231592707293425,0.9298203857440411,0.9367878158699081,0.9288373843805406,0.9308736459525082,0.9359110427441354,0.9300303579202799,0.9381217287816443,0.9333204808174711,0.9332485351761014,0.9293435987857913,0.9317620893223055,0.003895373449300188,5
25.092551883061727,0.0821265025257186,0.35031272570292155,0.015566256020203938,SAMME.R,0.05,150,"{'algorithm': 'SAMME.R', 'learning_rate': 0.05, 'n_estimators': 150}",0.9372062797799984,0.9294213932026241,0.92390471861547,0.9405214340167636,0.9278226405786546,0.9293149202658799,0.9282369862360836,0.925135300250039,0.935133112017023,0.9272324135744794,0.935335310168023,0.9277429623596006,0.922678295995081,0.9302763015196869,0.9309526395223982,0.9300609805401204,0.004859393613283639,6
16.76478870709737,0.0650441375712514,0.25164031982421875,0.00990892719629078,SAMME.R,0.1,100,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 100}",0.9372974509244761,0.9280665672660533,0.9222115782770288,0.9366458251069673,0.9273504215159726,0.9312153140406634,0.9240307833385829,0.9229276368908711,0.9332583975967872,0.9268068827415401,0.9378136230212746,0.9222409326614855,0.9176483409803922,0.9308145668402149,0.9314921943757162,0.9286547010385351,0.005923623699381066,7
25.129304440816245,0.1040340013049239,0.3510956128438314,0.01795015813582569,SAMME.R,0.1,150,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 150}",0.9406047483942487,0.926184984830107,0.9194621937349794,0.9316692389104474,0.9295074239521933,0.9284498685805745,0.9195187521521765,0.9227273191152617,0.9293527700568717,0.9284038767031907,0.9371769009673726,0.9157149499644038,0.9154005530279109,0.9315885291744218,0.9313575501501747,0.9271413106476223,0.007116677390379888,8
16.739761050542196,0.07130204309101795,0.26691219011942546,0.023882985582815028,SAMME.R,0.05,100,"{'algorithm': 'SAMME.R', 'learning_rate': 0.05, 'n_estimators': 100}",0.9287477610452587,0.9295430945969863,0.9228952534256496,0.9371975868198678,0.922223434930393,0.9258846839063295,0.922120146727398,0.9226221352786477,0.928765049726076,0.9205635179447872,0.9296918850095176,0.9298302750868921,0.9145688854346227,0.9257516842250217,0.9267730775130927,0.9258118981113694,0.005113178393375248,9
8.374820343653361,0.03844698101062622,0.14398303031921386,0.004569367099782539,SAMME.R,0.1,50,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 50}",0.927438646202012,0.9268623622988906,0.9203904783280045,0.9361157775945103,0.921420882979955,0.9269335458050755,0.9209492507784505,0.9210195307917861,0.9250805742056747,0.9191449870844982,0.930548191992039,0.9253909779840555,0.9134954517532577,0.927526323377581,0.9249526757580335,0.9244846437955883,0.005183327365718749,10
