mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
127.10051441192627,1.0179390100770271,0.7739289760589599,0.006045391399170317,0.15,5,1200,"{'max_features': 0.15, 'min_samples_split': 5, 'n_estimators': 1200}",0.9997494795996472,0.9995748558937952,0.9995330975097451,0.9995326471810937,0.9997232685399597,0.9997144628158188,0.9994301406885129,0.9996250232380233,0.9997583474333354,0.9999199399173729,0.999295954254481,0.999497402216927,0.9993251794087792,0.9996405995651092,0.9998828978558265,0.9996135530745618,0.00017788013037843824,1
42.351250092188515,0.290087351112433,0.5459120273590088,0.005713041291503749,0.07,3,800,"{'max_features': 0.07, 'min_samples_split': 3, 'n_estimators': 800}",0.9997852552115049,0.999609881183515,0.9995684359758352,0.9995822162891657,0.9996714047361065,0.9997549945385502,0.9995382361592589,0.9996468909509328,0.9997173685188564,0.9999292410100498,0.9994487494564763,0.9992582336262664,0.9990806926939287,0.999637640280216,0.9998817832428056,0.9996074015915645,0.00021329135944899214,2
84.89422171910604,0.7445849225938893,0.5330168247222901,0.007566778143441155,0.15,3,800,"{'max_features': 0.15, 'min_samples_split': 3, 'n_estimators': 800}",0.9997751737564338,0.9996052742218067,0.9995167740605073,0.9995421543077059,0.999707494642166,0.9997594048851537,0.9994672404571177,0.9996722751466022,0.99976343993089,0.9999286760126991,0.9993066511882847,0.9994552425869063,0.9991213068143981,0.999582522155233,0.9998914840368635,0.9996063409468512,0.00020918275725350126,3
63.47416229248047,0.4160242521975602,0.7945837656656901,0.008789376562604657,0.07,3,1200,"{'max_features': 0.07, 'min_samples_split': 3, 'n_estimators': 1200}",0.9996944711921332,0.9996006620777053,0.9995047067202855,0.9995467184646148,0.9997015910924857,0.9997469119753679,0.9995298052820318,0.9996920852668563,0.9997401851174667,0.9999354030824662,0.9992889482156073,0.9993986693557535,0.9991511305207391,0.9996553490552392,0.9998866583789139,0.999604886386511,0.00020362586390225917,4
89.96119637489319,0.5528923914062943,0.6533084233601888,0.004199566627047029,0.13,5,1000,"{'max_features': 0.13, 'min_samples_split': 5, 'n_estimators': 1000}",0.9997561284563931,0.9995834768378083,0.9994842295403604,0.999556899239888,0.9996746848461109,0.9997729102216226,0.999550253112177,0.9996035604088199,0.9997723907291224,0.9999324790442193,0.9992554284367857,0.9993582785626909,0.9992661622513619,0.999627770193037,0.9998744974770657,0.999604609957164,0.00019706875181195693,5
84.69079756736755,0.7414061412858749,0.5389151732126872,0.014565433201443097,0.15,7,800,"{'max_features': 0.15, 'min_samples_split': 7, 'n_estimators': 800}",0.9997498114289204,0.9995598537157246,0.9995355579774022,0.9994729699192909,0.9997142323705341,0.9997246444428477,0.9994787050770221,0.9996400110011642,0.9997500340351395,0.9999173002978534,0.999417000701966,0.9994374669768883,0.9991893609645912,0.9995924833353426,0.9998771218336845,0.9996037702718914,0.00018576021025779393,6
89.79317173957824,0.7786080558734555,0.6523304939270019,0.0036118335987197704,0.13,7,1000,"{'max_features': 0.13, 'min_samples_split': 7, 'n_estimators': 1000}",0.9996986050183088,0.9995896923338936,0.9995492181122378,0.99951737323644,0.9997044431347021,0.9997759409445776,0.9994659145030333,0.9995987142466649,0.9997806310897047,0.9999213649961394,0.9992792458114723,0.9994416313524574,0.9992493411222098,0.9996217102378232,0.999862123111176,0.9996037299500561,0.0001888348639448029,7
127.08329512278239,0.9430918970412614,0.7774840672810872,0.005210616349722718,0.15,3,1200,"{'max_features': 0.15, 'min_samples_split': 3, 'n_estimators': 1200}",0.9997957881042725,0.9996566439655409,0.9994609891254624,0.9994488887115413,0.9997088998205255,0.999753977221842,0.9995636639237804,0.999617283650767,0.9996950359033354,0.9999431698252306,0.9992702180594986,0.9994857007744387,0.999110849152598,0.9996201357637279,0.9999054743932723,0.9996024478930555,0.00021639529754163863,8
72.01768183708191,0.5089599072249162,0.5378145694732666,0.014942974639024916,0.13,5,800,"{'max_features': 0.13, 'min_samples_split': 5, 'n_estimators': 800}",0.9997557272746835,0.9996352061462381,0.9995811872100667,0.9995006396474615,0.9997072576980756,0.9997403736082203,0.9995302917039751,0.9996349767967025,0.9996134086602485,0.9999309020393834,0.9993372285148787,0.9993428827649135,0.9992019164940368,0.9996280416860085,0.9998958033871528,0.9996023895754698,0.00019399541721888978,9
106.0362790107727,0.9162557539958572,0.5287843227386475,0.004434906068794324,0.19,3,800,"{'max_features': 0.19, 'min_samples_split': 3, 'n_estimators': 800}",0.9997436879152224,0.9996094901888084,0.9996176470511298,0.9995595744311985,0.9996940719460351,0.9996772127338017,0.9994943547312829,0.9996424410675615,0.9997586266368496,0.9999368648614546,0.9992367231975805,0.999489905410304,0.9990448543878431,0.9996185654340131,0.9998980005863848,0.9996014680386313,0.00022067925096847725,10
