mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.22055943806966147,0.012746995537995753,3.2500764687856036,0.3434235097880243,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.9979638815969393,0.9982183463981465,0.9976791749806713,0.9990452307759039,0.998349449921377,0.9977727538039879,0.9992138139972901,0.9979973484569733,0.9979504916972,0.9984819234580055,0.9981771868609834,0.998604752073145,0.9978994520758462,0.9980945138715759,0.9993062388458063,0.9983169705875901,0.0004994391662524998,1
0.204188601175944,0.01639170105229602,2.20282146135966,0.08471794835990175,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.998061684408454,0.9983323535398496,0.9978515742558306,0.9987082467320139,0.9986884379708517,0.9984954801343653,0.9986589006044122,0.9974699742381459,0.9981794584673602,0.998688127914017,0.997679730970302,0.9987840435832146,0.9975775853936335,0.9981031701276312,0.9991110815233084,0.9982926566575594,0.0004784917757621385,2
0.2199285348256429,0.022594697271203522,3.4553353945414225,0.16140292260831368,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.9978830893215067,0.9981632647255967,0.9975884428033444,0.9989710518908451,0.9982824042011321,0.9977071048635195,0.9991438041272224,0.9978790370714149,0.9978911472009646,0.9984142210934749,0.9980829606358788,0.9985602523745645,0.9978446472520328,0.9980366093773403,0.999225314164544,0.9982448900735589,0.0005015043850065853,3
0.19265165328979492,0.023765871093538855,2.209836721420288,0.0884816766445736,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.997940103658008,0.998264215836907,0.9977352447800504,0.998616251446616,0.9985811459304454,0.9984158809999784,0.9985861260801384,0.9973312740986795,0.9981033851165076,0.9986098876771745,0.9975591482139086,0.9987257324897859,0.9974875082920042,0.9980356873373231,0.9990023209277148,0.9981995941923496,0.0004898554088368551,4
0.1852630615234375,0.024766036521660005,1.993133052190145,0.07587306050350122,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9980029793796001,0.998349596046267,0.9977211578878462,0.9985565231287243,0.9985876468887491,0.9981367979807013,0.9984420811674086,0.9971954679332302,0.9982076045784656,0.9984690577448301,0.9977175176151276,0.9986010226169013,0.9976011379060308,0.9979213311523223,0.9991327776426886,0.9981761799779262,0.00047633747391402886,5
0.22233014106750487,0.01603359884568447,3.168439197540283,0.15220370144300382,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.9977275675966691,0.9982355086638407,0.9975598194797277,0.9988832963170777,0.9979608359965741,0.9977661373395923,0.9990103266908816,0.9977610907902461,0.9973639065427706,0.9978689488870744,0.9982097775428551,0.9984398608052351,0.9975329459131247,0.9980553418012347,0.9993176666261077,0.9981128687328673,0.0005575750443320854,6
0.19101667404174805,0.019349282799586243,1.9868694305419923,0.06623104149791341,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9979200584133714,0.9983105417649414,0.997649197805082,0.9984905983832087,0.9985068436203518,0.998084830562972,0.9983847871679734,0.9971001988993781,0.9981598919000728,0.9984162539441603,0.9976248944271507,0.998559963435009,0.9975327670201585,0.9978780404939123,0.999068968436964,0.9981125224183138,0.00048493412249203503,7
0.2218629837036133,0.010202532875230007,3.1646732171376546,0.14998171438124885,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.9976811142621814,0.9982088448850881,0.9975031582598202,0.9988325316978625,0.9979141911356992,0.9977363959957873,0.9989670439049343,0.9976829200987638,0.997331758069036,0.9978341916064333,0.9981430784903405,0.9984176754437986,0.9974919415657159,0.9980228391591146,0.999270066483224,0.9980691834038533,0.000557776030687998,8
0.2129893143971761,0.02170527968907237,2.851409117380778,0.15381657992340772,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.9974315441344057,0.9980404601101421,0.9972071337132181,0.9988956368157049,0.9977420646648654,0.9977813568814733,0.9985162500565432,0.9975447029979099,0.9972021276371503,0.9975619446697467,0.9980645175806048,0.9984171044727207,0.9973424475901952,0.9980726501549186,0.9989642142059442,0.9979189437123696,0.0005549275112809527,9
0.21164763768513997,0.013001291466299839,2.855669069290161,0.1512436513504039,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.9974074136201618,0.9980267177274309,0.9971748087421677,0.998866529272884,0.9977212234588035,0.9977659301005118,0.9984929985826672,0.9975052756678215,0.9971873136937883,0.9975473196697318,0.9980459320312771,0.998404398527861,0.9973174035692315,0.9980575919024453,0.9989425537374466,0.9978975606869486,0.0005558940184722249,10
0.19488213857014974,0.01786419681406454,1.7494850317637125,0.05220651363735,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.9973686306389151,0.9983670998229657,0.9973559131890217,0.9983391086614862,0.9982031199419816,0.9980891090712408,0.9981383379699713,0.9971852819375024,0.9976681048733159,0.9975761633753031,0.9972173166650826,0.9984398750659036,0.997444776873437,0.9979388857453741,0.9987771708098003,0.9978739263094201,0.000487769874105479,11
