mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score
4.017354091008504,0.018516439002117597,0.07248489061991374,0.0014232177005819805,friedman_mse,0.2,deviance,8,sqrt,10,0.95,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.95}",0.9991238119390482,0.9993184318734581,0.9995226338189724,0.998887231032076,0.9993102253019917,0.9993266551797214,0.9992481648575446,0.00019833463660315356,1
3.835751016934713,0.03212789952203905,0.07413828372955322,0.0025747881363320877,friedman_mse,0.2,deviance,8,sqrt,10,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.9}",0.9990450971754041,0.9995966596400837,0.9992906505629146,0.999102740559322,0.9990208044951248,0.9990550237613578,0.9991851626990345,0.00020445820446386294,2
2.935139854749044,0.02822533621606758,0.07327779134114583,0.0004701778131960124,friedman_mse,0.2,deviance,8,log2,10,0.95,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.95}",0.9986332186905967,0.9994521170826614,0.9992724398758706,0.9990961868920545,0.9992046264246539,0.9992218228545638,0.9991467353034001,0.00025308221536987565,3
4.223084966341655,0.027123992337698858,0.074026624361674,0.0013463864222161646,friedman_mse,0.2,deviance,8,sqrt,10,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 1.0}",0.9991622863110539,0.9992332740030367,0.9990108726043664,0.9987385898364781,0.9992811760909701,0.9993764392571786,0.9991337730171806,0.00020920575282530932,4
2.811392386754354,0.011920919343361688,0.07722135384877522,0.007302877877682877,friedman_mse,0.2,deviance,8,log2,10,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.9}",0.9988190575633997,0.9994580889984548,0.9990537490302625,0.9989140302036905,0.9992829338739684,0.9991123710282237,0.9991067051163331,0.00021495286068982694,5
3.0358922878901162,0.012645836060405589,0.07422749201456706,0.0004800977621609845,friedman_mse,0.2,deviance,8,log2,10,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 1.0}",0.9993037943383177,0.9992685833316249,0.999019589104925,0.9988861564351964,0.998791449321398,0.9992494342115297,0.9990865011238319,0.0001994108995605399,6
2.9243642489115396,0.015873542070556565,0.07336493333180745,0.0009042401240627286,friedman_mse,0.1,deviance,8,log2,10,0.95,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.95}",0.999062019587029,0.9992592509134415,0.9991209899661401,0.9986882508353995,0.9991456435442233,0.9990670130175516,0.9990571946439641,0.00017746314243497174,7
2.6910918156305947,0.024798291688371443,0.07408420244852702,0.000762479721409201,friedman_mse,0.2,deviance,8,log2,10,0.85,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.85}",0.9990498493013957,0.9991973864073115,0.9991959611792517,0.9989591341167706,0.998640854761501,0.9992025909681415,0.9990409627890621,0.00020061482705646902,8
3.634025812149048,0.014090484876822915,0.07227814197540283,0.0005314718733617628,friedman_mse,0.2,deviance,8,sqrt,10,0.85,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.85}",0.9989981918537953,0.9991354392538719,0.9992655198368867,0.9987985494589061,0.998814269669048,0.9991204041597082,0.9990220623720361,0.00017102757726991167,9
3.8335222800572715,0.021970530709724462,0.07259015242258708,0.0006163344452435289,friedman_mse,0.1,deviance,8,sqrt,10,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.9}",0.9990625108290969,0.9994299334941159,0.9989322123478491,0.9987593200610476,0.9989407149640674,0.9989988608585122,0.9990205920924482,0.00020503829699832087,10
2.802587866783142,0.013279718425096695,0.07382404804229736,0.000541012589795245,friedman_mse,0.1,deviance,8,log2,10,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.9}",0.9986027306477846,0.9993181383519835,0.9989234501532108,0.9988768743657271,0.9991070493847406,0.9992709522714994,0.9990165325291577,0.00024606554247221836,11
