mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_components,param_shrinkage,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.19273207982381185,0.0207052769294762,0.044086027145385745,0.0020405953913620284,2,0.1,lsqr,"{'n_components': 2, 'shrinkage': 0.1, 'solver': 'lsqr'}",0.992310186686278,0.9919880775403216,0.9901802130259474,0.9933887988572996,0.9902951722240806,0.9916900407439269,0.9921799165873251,0.9907701654906085,0.9919641772034323,0.9924141622661837,0.990369910322468,0.9923761605461344,0.989520874123554,0.9929989897506399,0.9924152785933689,0.9916574749307714,0.0011079191779628564,1
0.1930662949879964,0.007845472126747388,0.043364365895589195,0.00238145504758358,2,0.1,eigen,"{'n_components': 2, 'shrinkage': 0.1, 'solver': 'eigen'}",0.992310186686278,0.9919880775403216,0.9901802130259474,0.9933887988572996,0.9902951722240806,0.9916900407439269,0.9921799165873251,0.9907701654906085,0.9919641772034323,0.9924141622661837,0.990369910322468,0.9923761605461344,0.989520874123554,0.9929989897506399,0.9924152785933689,0.9916574749307714,0.0011079191779628564,1
0.18644351959228517,0.0037691858997373163,0.04354685147603353,0.002530192071158391,4,0.1,eigen,"{'n_components': 4, 'shrinkage': 0.1, 'solver': 'eigen'}",0.992310186686278,0.9919880775403216,0.9901802130259474,0.9933887988572996,0.9902951722240806,0.9916900407439269,0.9921799165873251,0.9907701654906085,0.9919641772034323,0.9924141622661837,0.990369910322468,0.9923761605461344,0.989520874123554,0.9929989897506399,0.9924152785933689,0.9916574749307714,0.0011079191779628564,1
0.16178472836812338,0.002646979651471139,0.04314522743225098,0.002024560769279056,4,0.1,lsqr,"{'n_components': 4, 'shrinkage': 0.1, 'solver': 'lsqr'}",0.992310186686278,0.9919880775403216,0.9901802130259474,0.9933887988572996,0.9902951722240806,0.9916900407439269,0.9921799165873251,0.9907701654906085,0.9919641772034323,0.9924141622661837,0.990369910322468,0.9923761605461344,0.989520874123554,0.9929989897506399,0.9924152785933689,0.9916574749307714,0.0011079191779628564,1
0.18736459414164225,0.010205899116200932,0.044054238001505534,0.0023801956338580215,4,0.3,eigen,"{'n_components': 4, 'shrinkage': 0.3, 'solver': 'eigen'}",0.98898159882286,0.9892881370915347,0.9873688275170694,0.9902363263704295,0.987375370215231,0.9891105291794909,0.990088966793096,0.9877221094237472,0.9882095158671549,0.9897044746721735,0.9875242707023684,0.9891087101673547,0.9877136815298707,0.9898149891448954,0.9892809612636826,0.9887685645840637,0.0009882020996157773,5
0.16841907501220704,0.005105849342530818,0.0444087028503418,0.0033189783207659028,2,0.3,lsqr,"{'n_components': 2, 'shrinkage': 0.3, 'solver': 'lsqr'}",0.98898159882286,0.9892881370915347,0.9873688275170694,0.9902363263704295,0.987375370215231,0.9891105291794909,0.990088966793096,0.9877221094237472,0.9882095158671549,0.9897044746721735,0.9875242707023684,0.9891087101673547,0.9877136815298707,0.9898149891448954,0.9892809612636826,0.9887685645840637,0.0009882020996157773,5
0.19262323379516602,0.00753112777762859,0.04245211283365886,0.0019424146941226287,2,0.3,eigen,"{'n_components': 2, 'shrinkage': 0.3, 'solver': 'eigen'}",0.98898159882286,0.9892881370915347,0.9873688275170694,0.9902363263704295,0.987375370215231,0.9891105291794909,0.990088966793096,0.9877221094237472,0.9882095158671549,0.9897044746721735,0.9875242707023684,0.9891087101673547,0.9877136815298707,0.9898149891448954,0.9892809612636826,0.9887685645840637,0.0009882020996157773,5
0.1683449427286784,0.006491330262016234,0.04318671226501465,0.002208386581081176,4,0.3,lsqr,"{'n_components': 4, 'shrinkage': 0.3, 'solver': 'lsqr'}",0.98898159882286,0.9892881370915347,0.9873688275170694,0.9902363263704295,0.987375370215231,0.9891105291794909,0.990088966793096,0.9877221094237472,0.9882095158671549,0.9897044746721735,0.9875242707023684,0.9891087101673547,0.9877136815298707,0.9898149891448954,0.9892809612636826,0.9887685645840637,0.0009882020996157773,5
0.1653066635131836,0.0036481732042684314,0.04265178044637044,0.0008990555485182775,4,0.5,lsqr,"{'n_components': 4, 'shrinkage': 0.5, 'solver': 'lsqr'}",0.9821735085674701,0.9833922276852449,0.9808883437556263,0.9835228238063067,0.9815023769376525,0.981959670497301,0.9847233175578476,0.9814353191885159,0.980716261219395,0.9835771210686483,0.981144768678362,0.9822195264452189,0.9819199549009742,0.9832846238405564,0.9826543297132802,0.9823409449241599,0.0011184460410545085,9
0.18503162066141765,0.007047952934064704,0.04374791781107585,0.00222555626564141,4,0.5,eigen,"{'n_components': 4, 'shrinkage': 0.5, 'solver': 'eigen'}",0.9821735085674701,0.9833922276852449,0.9808883437556263,0.9835228238063067,0.9815023769376525,0.981959670497301,0.9847233175578476,0.9814353191885159,0.980716261219395,0.9835771210686483,0.981144768678362,0.9822195264452189,0.9819199549009742,0.9832846238405564,0.9826543297132802,0.9823409449241599,0.0011184460410545085,9
0.18122833569844563,0.006070148108579535,0.042135429382324216,0.0020646419732136094,2,0.5,eigen,"{'n_components': 2, 'shrinkage': 0.5, 'solver': 'eigen'}",0.9821735085674701,0.9833922276852449,0.9808883437556263,0.9835228238063067,0.9815023769376525,0.981959670497301,0.9847233175578476,0.9814353191885159,0.980716261219395,0.9835771210686483,0.981144768678362,0.9822195264452189,0.9819199549009742,0.9832846238405564,0.9826543297132802,0.9823409449241599,0.0011184460410545085,9
