mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_max_depth,param_min_child_weight,param_num_class,param_objective,param_reg_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
48.552526013056436,0.5608690134904226,0.1532001495361328,0.0016915947980891822,0,9,6,7,multi:softmax,0.01,"{'gamma': 0, 'max_depth': 9, 'min_child_weight': 6, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.01}",0.9992888827733827,0.9999161673110409,0.9992324135330751,0.9996178314418873,0.999665350139544,0.9998355514193852,0.9996507396693473,0.9998252591129843,0.9997711272074685,0.9997212914381762,0.9993881754180067,0.9992270412780107,0.9993848376089755,0.9997404590978596,0.9997035872121114,0.9995979143107505,0.00022359448858030997,1
48.25343702634176,0.6581296521596677,0.15302160580952961,0.002358538264264432,0,9,6,7,multi:softmax,0,"{'gamma': 0, 'max_depth': 9, 'min_child_weight': 6, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0}",0.9993108186577937,0.9999083732108704,0.999166178640575,0.9996249514098758,0.9996118493909465,0.9998390700285882,0.9996238488016684,0.9998118769472593,0.9997979336933966,0.9996664670726302,0.9993876743957386,0.9993086214570621,0.9993675617877498,0.9997069957848954,0.9997952283789022,0.9995951633105303,0.00022317661116328053,2
51.165176709493004,0.5386623078028867,0.15626567204793293,0.0028974655939979434,0,9,4,7,multi:softmax,0,"{'gamma': 0, 'max_depth': 9, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0}",0.9992904909241875,0.9999487402529352,0.9991662674535761,0.9996514561647507,0.9996173908239268,0.9998517699154428,0.9996958248791422,0.9998114511230884,0.9997693254958138,0.999621265033079,0.9993868604046374,0.9991225841750355,0.9994689888145872,0.999759678771607,0.9997378931245153,0.9995933324904217,0.00024348284104896634,3
50.61375455856323,0.6908672598159981,0.1571381409962972,0.0019470649975112588,0,7,4,7,multi:softmax,0.005,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.005}",0.9992737342568876,0.9999188005883314,0.9990113322034414,0.9996484124480132,0.9996581445919104,0.9998887967513245,0.9997074537921998,0.9998129013695628,0.9997422250935412,0.9996288480802347,0.9993426357636654,0.9993478342056358,0.9994324447495359,0.9997931511873729,0.9996814732000361,0.9995925458854463,0.0002480168076169067,4
51.22612679799398,0.7104464444572622,0.15622170766194662,0.0023948974399362393,0,9,4,7,multi:softmax,0.001,"{'gamma': 0, 'max_depth': 9, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.001}",0.99932784666024,0.9999333274396864,0.9991618113403291,0.9995942961332883,0.9996748877523531,0.9998660811682433,0.9997271187653773,0.9998167415221486,0.9997517673329975,0.9996120621142109,0.9994021067191226,0.9990831044973654,0.9994578801771832,0.9997331213577167,0.9997213530304286,0.9995909004007129,0.00024463377743879803,5
49.45345319112142,0.7132644841739897,0.1563048521677653,0.0025848638962475043,0,7,5,7,multi:softmax,0.05,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 5, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.05}",0.9993216569044753,0.9999070779552122,0.9991397653967212,0.9996118053855965,0.9995983493060139,0.9998579752119137,0.9997331064822321,0.9997784393995734,0.9997402502163091,0.9995920146705004,0.999350649136075,0.9992661584323763,0.9994306440619146,0.9997531514423491,0.9997586340896504,0.9995893118727275,0.000226390056029702,6
50.71849716504415,0.723039555736412,0.1578975518544515,0.002673863554187338,0,7,4,7,multi:softmax,0.01,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.01}",0.9992518635996076,0.9999166063173842,0.9991408597154864,0.9996218627198147,0.9996446321494672,0.9998944548735527,0.9997177232785918,0.9998068990324731,0.9997349368538128,0.9996222787087168,0.9993726605810289,0.9992658515160183,0.9994271370286002,0.9997453285222686,0.9996676288071873,0.9995887149136008,0.0002329228820158652,7
49.29128700892131,0.7588449668103565,0.15922005971272787,0.004144852023369185,0,5,4,7,multi:softmax,0.001,"{'gamma': 0, 'max_depth': 5, 'min_child_weight': 4, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.001}",0.9994020858224015,0.9998901054410119,0.9988967839482509,0.9997029890775796,0.9996269546471224,0.999871011082497,0.999583412535958,0.99980579608282,0.9997802250021601,0.9997184422111426,0.9993471682953606,0.9993233256012288,0.9993569465189249,0.999760578787174,0.9997504960052709,0.9995877547372601,0.0002629948136997835,8
48.2842244942983,0.6519306630095888,0.156106964747111,0.004414923558196505,0,7,6,7,multi:softmax,0.05,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 6, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.05}",0.9993800903238172,0.9999244894021546,0.9990922638513162,0.9996218748528524,0.9995893043820783,0.9998421202180626,0.9996200155996948,0.9997777240141044,0.9997543902508095,0.9996322883627812,0.9994286131794823,0.9993368386361844,0.9992930470161125,0.9997329051325412,0.9997417334674037,0.9995845132459598,0.00022428138784102042,9
48.06081116994222,0.6643069294872913,0.15363442103068034,0.002952216243225608,0,7,6,7,multi:softmax,0.001,"{'gamma': 0, 'max_depth': 7, 'min_child_weight': 6, 'num_class': 7, 'objective': 'multi:softmax', 'reg_alpha': 0.001}",0.9993999134251632,0.9999242004496829,0.9991419095660472,0.9995825944398582,0.9996048189599372,0.9998615385606057,0.9996507053942532,0.9997956947621931,0.9997222763689774,0.9996739648333708,0.9993207986900152,0.9992599435785969,0.9993547716664197,0.9997365899005649,0.9997378187305888,0.9995845026217515,0.00022697764096669384,10
