mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_multi_class,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
13.79336166381836,2.8408350278826435,0.058777236938476564,0.0034927194301559404,10,ovr,l2,newton-cg,"{'C': 10, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'newton-cg'}",0.998869261534761,0.9990315765462935,0.9989869774493897,0.9988366175516041,0.9989371404159273,0.9989385155761058,0.9986040704563163,0.9985011467486353,0.9993742986389907,0.9985873267490456,0.9984309144921844,0.9994661178966936,0.9993475097689082,0.9987157303730978,0.9991563733061557,0.9989189051669405,0.00030953746692169334,1
21.24047541618347,3.3143047664957987,0.059645430246988936,0.0031174926346516033,100,ovr,l2,newton-cg,"{'C': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'newton-cg'}",0.9990823396284801,0.9991846649644138,0.9986813900928253,0.9990196887935332,0.9987317048766888,0.9991073658717837,0.9990461194654043,0.9985642733643612,0.9991804107212185,0.9984290883398812,0.9971542163906685,0.9995559159109961,0.9994774885332778,0.9988220112166305,0.9987097512361668,0.998849761960422,0.0005476051316169093,2
23.444128672281902,2.652687352445129,0.059092410405476886,0.0024209064643438685,150,ovr,l2,newton-cg,"{'C': 150, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'newton-cg'}",0.9990821503762948,0.9991460168357233,0.9986069129044275,0.9990053785246561,0.9986974923987099,0.9991433101783331,0.9990900207087401,0.9985573673801038,0.9989448310756333,0.9984425503794725,0.9971381657039666,0.9995560767408896,0.9994469097255891,0.9987329424880922,0.9986937719751486,0.9988189264930519,0.0005453526925046185,3
4.07420064608256,0.5780321811793171,0.054874547322591144,0.005458760864248562,10,ovr,l2,lbfgs,"{'C': 10, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9988011266316843,0.9987229527888678,0.9988671542795771,0.9986869810765338,0.9988375796367348,0.9988187993631119,0.9984895465962695,0.9983319059306963,0.9991114674377195,0.9986518308477402,0.9982581389235266,0.999418319732053,0.9993443673202369,0.9987212099294365,0.9988855249837207,0.9987964603651939,0.00031038133073067037,4
4.309700457255046,0.6347223200611223,0.056245072682698564,0.00604635642590929,100,ovr,l2,lbfgs,"{'C': 100, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9989285265307544,0.9986314739965234,0.999279716971064,0.9991347983278134,0.9989095785333705,0.9987764815396316,0.9988172244515198,0.9982858566305927,0.999153076476107,0.9980579062598804,0.9964941157970495,0.9994892651202225,0.9994357903336987,0.9985719400140655,0.9988036105700658,0.998717957436824,0.0007065023012131919,5
4.399952777226766,0.6268063783756026,0.055638964970906576,0.0057831589690624675,150,ovr,l2,lbfgs,"{'C': 150, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9989653878141439,0.9986272519496742,0.9991865366020731,0.9990896545583705,0.9986303143427,0.9987971437311595,0.998843827286478,0.9981183413304769,0.9991847176634312,0.9980845408605322,0.9964986185022706,0.9994797407032504,0.9992323434792066,0.998502638605291,0.9986885681183365,0.9986619750364929,0.0006931175057106028,6
4.613358783721924,0.2349495319378548,0.06173663139343262,0.004886119702581982,1,ovr,none,lbfgs,"{'C': 1, 'multi_class': 'ovr', 'penalty': 'none', 'solver': 'lbfgs'}",0.9988307294566645,0.9985194634080873,0.9987668286707752,0.99888911649009,0.9985348363578839,0.9983554392864671,0.998727788229357,0.9984175438130626,0.9991263907511236,0.9977737812760651,0.9962444788896908,0.9997943231406662,0.9990188225067872,0.9981940557989095,0.9990107179687919,0.9985469544029615,0.0007609693591601568,7
4.635891230901082,0.19358650493578522,0.06095606486002604,0.005061769419416571,100,ovr,none,lbfgs,"{'C': 100, 'multi_class': 'ovr', 'penalty': 'none', 'solver': 'lbfgs'}",0.9988307294566645,0.9985194634080873,0.9987668286707752,0.99888911649009,0.9985348363578839,0.9983554392864671,0.998727788229357,0.9984175438130626,0.9991263907511236,0.9977737812760651,0.9962444788896908,0.9997943231406662,0.9990188225067872,0.9981940557989095,0.9990107179687919,0.9985469544029615,0.0007609693591601568,7
4.66071925163269,0.16041424298093512,0.06011419296264649,0.003071485217042922,10,ovr,none,lbfgs,"{'C': 10, 'multi_class': 'ovr', 'penalty': 'none', 'solver': 'lbfgs'}",0.9988307294566645,0.9985194634080873,0.9987668286707752,0.99888911649009,0.9985348363578839,0.9983554392864671,0.998727788229357,0.9984175438130626,0.9991263907511236,0.9977737812760651,0.9962444788896908,0.9997943231406662,0.9990188225067872,0.9981940557989095,0.9990107179687919,0.9985469544029615,0.0007609693591601568,7
4.65010765393575,0.2726122739478211,0.06097189585367838,0.004208188754258392,150,ovr,none,lbfgs,"{'C': 150, 'multi_class': 'ovr', 'penalty': 'none', 'solver': 'lbfgs'}",0.9988307294566645,0.9985194634080873,0.9987668286707752,0.99888911649009,0.9985348363578839,0.9983554392864671,0.998727788229357,0.9984175438130626,0.9991263907511236,0.9977737812760651,0.9962444788896908,0.9997943231406662,0.9990188225067872,0.9981940557989095,0.9990107179687919,0.9985469544029615,0.0007609693591601568,7
