mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.05881226857503255,0.006394865946369724,0.09271219571431479,0.004915036739709605,6.579332246575682e-07,{'var_smoothing': 6.579332246575682e-07},0.8371959409177198,0.8382931546440651,0.8372793933464205,0.8357455305295669,0.8447247744035796,0.8318607871520178,0.843419746740759,0.8303583220503565,0.8375077397996422,0.8364917070381487,0.8404244394607211,0.8350574059258419,0.834020350408262,0.8413064453904175,0.8367233132733493,0.8373606034053912,0.0037976967954082863,61
0.058220720291137694,0.005068703975493207,0.09334583282470703,0.005185413488780091,1.232846739442066e-06,{'var_smoothing': 1.232846739442066e-06},0.8372182000093344,0.8383056971102655,0.8372757497392186,0.8357134163585357,0.8447557645377394,0.8318581624651884,0.8433852248871595,0.8303256858507198,0.8374955046078914,0.8364947468038572,0.8404073351397422,0.8350409776265186,0.8340385762949968,0.8413195384639757,0.8367416924237286,0.8373584181545917,0.0038027047717931295,62
0.0581503709157308,0.005328952305018861,0.09228839874267578,0.005193395747377716,1e-06,{'var_smoothing': 1e-06},0.8371874450674118,0.8383125044423061,0.837276113536614,0.8357206228123821,0.8447188536801271,0.831855152459233,0.8434098155857513,0.8303471076177532,0.8375036945433278,0.8364988514784508,0.8404161766443196,0.835048234232968,0.8340431048592476,0.8412949676611646,0.8367330166368478,0.837357710750527,0.0037964380804144343,63
0.05810367266337077,0.004119576690629904,0.09086839358011882,0.006373515007961426,0.001,{'var_smoothing': 0.001},0.8371992379338353,0.8381538228666866,0.8374663630082486,0.835609840683084,0.8449840258339391,0.8319279281571832,0.84342990261786,0.8303736520830561,0.8375268246825843,0.8364851396405587,0.8403918118416437,0.8349161849185812,0.8339246396980379,0.8413217998809884,0.8366137790735861,0.8373549968613249,0.0038386427684673017,64
0.057860485712687176,0.005645153434965319,0.09465559323628743,0.005711578667681856,1.873817422860383e-06,{'var_smoothing': 1.873817422860383e-06},0.8372257680406135,0.8383337562690502,0.8373029376512067,0.8356933293577746,0.8447753426075585,0.8318567651638265,0.8433943623147929,0.830314097652702,0.8374852181825186,0.8364855761597748,0.8403636117292089,0.8350342274795164,0.8339966089529186,0.841314466935235,0.8367238847213961,0.8373533302145396,0.003809145276236839,65
0.05938901901245117,0.0091643707380586,0.09392625490824381,0.005372766588252569,2.310129700083158e-06,{'var_smoothing': 2.310129700083158e-06},0.8372230705559062,0.8383268163895101,0.837295097749627,0.8357170202496915,0.8447714157951086,0.8318544693969221,0.8433912319414629,0.8303135684174826,0.8374820870854615,0.8364772288831229,0.8403800577016824,0.8349931951682322,0.8340193905219936,0.8413099340435851,0.8367411037121005,0.8373530458407926,0.0038086362216396795,66
0.05846713383992513,0.005836951685856666,0.0934153397878011,0.005353586621022578,1.519911082952933e-06,{'var_smoothing': 1.519911082952933e-06},0.8372223275563809,0.8383041407196291,0.837268387440177,0.8357133813710371,0.8447514706647944,0.8318503724696971,0.8433789842788606,0.8303218232348067,0.8374890587085989,0.8364906761662672,0.8403696440098493,0.8350367360447102,0.8340135321561467,0.8413136633729614,0.8367292189596182,0.8373502278102356,0.003802093152824374,67
0.05752339363098145,0.0031247826474607283,0.09120224316914877,0.004420724519890142,0.0012328467394420659,{'var_smoothing': 0.0012328467394420659},0.8369933053239469,0.8379877838745863,0.8373055836580588,0.835455749358659,0.8448884088216542,0.8317871827832557,0.8432940254605122,0.8302804906669946,0.8373353473391234,0.8363900146312696,0.8402911875052954,0.83480199287684,0.8338029097044615,0.8411717501081833,0.8364565066078213,0.837216149248044,0.003838298458855935,68
0.06398027737935384,0.015430322834263198,0.09150153795878092,0.006346806043886014,0.0015199110829529332,{'var_smoothing': 0.0015199110829529332},0.8368463031706355,0.8377429890096021,0.8370933684433892,0.8353076440051793,0.844738803309859,0.8316046697427846,0.8431244341294067,0.8301327722189736,0.8370652098620639,0.83618445402569,0.840144036087278,0.8346783446024411,0.8334915835005443,0.8410523631505962,0.8363492035506359,0.837037078587272,0.0038487450709343667,69
0.0573976993560791,0.0054437947196076765,0.0931493600209554,0.006545688175964322,0.001873817422860383,{'var_smoothing': 0.001873817422860383},0.8366012756083162,0.8374794044897522,0.8368977457379735,0.8351620160385023,0.8445261629483797,0.8314050134469115,0.8428489105632165,0.829979015198894,0.8368082027814777,0.8359193917430067,0.8399690738537133,0.8344529633538096,0.8332584337019969,0.8408479804593478,0.8361123460848491,0.8368178624006767,0.003836946024026732,70
0.057094605763753255,0.005098599014274296,0.09360547065734863,0.004879932539269898,0.0023101297000831605,{'var_smoothing': 0.0023101297000831605},0.8362783695633206,0.8371635010938553,0.8366073193794976,0.8349373874890176,0.8442934625451235,0.831170150382506,0.842425668467729,0.8297735234338772,0.8365405818789876,0.8355791609926212,0.8396578521379718,0.834284600331543,0.8330144120191258,0.8405933432960916,0.8357951294863424,0.8365409641665075,0.0038083512602684346,71
0.05837831497192383,0.00875750276066391,0.0933961550394694,0.007061011833981779,0.002848035868435802,{'var_smoothing': 0.002848035868435802},0.8360180262922042,0.8367856645858945,0.8362828003607661,0.8347032939960073,0.8440494571149538,0.8307554786131529,0.8420926873373197,0.8293000459524352,0.8362258521794874,0.8352071085692545,0.8393833463108751,0.8340940839878612,0.8327587724297961,0.8402974596686787,0.8353610681366135,0.8362210097023532,0.003839240449553756,72
0.0599762757619222,0.011404242372717312,0.0935656706492106,0.008994691160803023,0.003511191734215131,{'var_smoothing': 0.003511191734215131},0.8355437002884294,0.8363242370990485,0.8359502330629418,0.834362041557475,0.8436773771896086,0.8304358172670888,0.841598743108837,0.8287827724057172,0.8357398629392934,0.8349042917261335,0.83899295275644,0.8337367140870875,0.8323010237072844,0.8398452949715738,0.8349746381230508,0.8358113133526675,0.003835533824292858,73
